iter,PI_time,PI_reward,PI_steps,PI_convergence,VI_time,VI_reward,VI_steps,VI_convergence
1,0.005776621,-199,200,79.8,0.002570494,-199,200,79.8
2,0.013219247,-199,200,50.3985261167,0.004146979,-199,200,49.0046832
3,0.020106459,-199,200,44.6059141738,0.005772241,-199,200,29.6911861855
4,0.026863895,-154.42,183.7,50.779431772,0.007973248,-199,200,27.9912247347
5,0.033392592,-110.28,159.76,52.2145009265,0.009332574,-199,200,24.0352499247
6,0.050426817,52.18,49.82,41.0592807991,0.010744083,-199,200,19.3542350105
7,0.056602512,52.76,49.24,49.6857711016,0.012138501,-199,200,18.8730879037
8,0.059305116,52.64,49.36,0.0126512107,0.013483487,-199,200,16.8356591535
9,0.060662493,53.86,48.14,0.0004295537,0.014849477,-199,200,15.5088580048
10,0.06168792,51.4,50.6,0.0001856155,0.016222541,-199,200,14.8720265354
11,0.062665475,51.46,50.54,8.02898182215017E-05,0.017532997,-199,200,14.4723528611
12,0.063623817,52.82,49.18,0.00003475,0.018841801,-199,200,13.1126296199
13,0.065220618,52.38,49.62,1.50435859609388E-05,0.020108899,-199,200,12.2812715881
14,0.06618177,51.6,50.4,6.51244455340816E-06,0.022217414,-199,200,12.0894639421
15,0.067145148,52.78,49.22,2.81876220142863E-06,0.023569309,-199,200,11.7490249108
16,0.06831703,51.84,50.16,1.21967205402029E-06,0.025093609,-199,200,10.71714848
17,0.069284505,52.58,49.42,5.27550003681654E-07,0.026314762,-189.38,196.44,10.3353869453
18,0.070267423,49.8,52.2,2.28085951903267E-07,0.027567517,-179.96,191.06,9.4378415875
19,0.071219288,53.28,48.72,9.8567927153681E-08,0.028771415,-110.86,158.32,8.9706921204
20,0.072169083,51.78,50.22,4.25764561384767E-08,0.02997649,-133.36,172.74,8.6412691071
21,0.073130964,52.46,49.54,1.83822947974477E-08,0.031172225,-102.1,155.62,8.0189126807
22,0.074075207,51.88,50.12,7.93285437339364E-09,0.032371761,-106.72,158.22,7.7955526077
23,0.075000871,51.94,50.06,3.42186723401028E-09,0.033572723,36.32,65.68,7.1883482987
24,0.075941874,52.58,49.42,1.47541356909642E-09,0.034766657,50.56,51.44,6.9181211864
25,0.07690667,51.24,50.76,6.35893115941144E-10,0.035962333,52.36,49.64,6.6653917731
26,0.077961395,52.46,49.54,2.73956857199664E-10,0.037157694,52.96,49.04,6.221351725
27,0.078916165,52.68,49.32,1.17992726700322E-10,0.038408994,51.04,50.96,6.1036090534
28,0.079837221,53.04,48.96,5.0789594752132E-11,0.039625588,52.28,49.72,5.8365951584
29,0.081270421,53,49,2.18491891246231E-11,0.041619551,52.58,49.42,5.6752401583
30,0.082700783,52.5,49.5,9.41113853514253E-12,0.043602716,52.68,49.32,5.5119877314
31,0.084125825,51.18,50.82,4.05009359383257E-12,0.045572358,50.16,51.84,4.9722504256
32,0.085064836,52.4,49.6,1.74438241629105E-12,0.047559893,53.36,48.64,4.2199521394
33,0.085976434,49.84,52.16,7.46069872548105E-13,0.048777539,52.34,49.66,3.3999589076
34,0.0868841,52.16,49.84,3.16191517413245E-13,0.049969964,51.74,50.26,2.6180770542
35,0.087787704,52.62,49.38,1.4210854715202E-13,0.051167776,51.9,50.1,1.9370714578
36,0.088696057,51.56,50.44,6.03961325396085E-14,0.052407082,53,49,1.3830845546
37,0.089607976,52.36,49.64,1.77635683940025E-14,0.053600461,52.36,49.64,0.9564583134
38,0.090509358,51.14,50.86,1.06581410364015E-14,0.054784407,51.68,50.32,0.6425917001
39,0.091441178,51.64,50.36,3.5527136788005E-15,0.055979896,52.46,49.54,0.4205399315
40,0.092344198,50.4,51.6,3.5527136788005E-15,0.057158912,52.68,49.32,0.2687099158
41,0.093248785,52.34,49.66,0,0.058341158,50.3,51.7,0.1679741712
42,0.094143979,52.26,49.74,0,0.059533437,51.4,50.6,0.1029103331
43,0.095054825,52.38,49.62,0,0.060718251,51.66,50.34,0.061890178
44,0.095959005,51.52,50.48,0,0.061902344,52.92,49.08,0.0365885721
45,0.097287519,51.4,50.6,0,0.063099772,51.34,50.66,0.0212902794
46,0.098197692,51.82,50.18,0,0.064305369,52.76,49.24,0.0122074688
47,0.099098622,52.56,49.44,0,0.065495206,52.52,49.48,0.0069044092
48,0.100005776,52.44,49.56,0,0.066688564,53.36,48.64,0.0038555856
49,0.100907887,51.74,50.26,0,0.067863869,52.18,49.82,0.0021275826
50,0.101808014,52.58,49.42,0,0.069054304,51.74,50.26,0.0011610514
51,0.102721254,51.96,50.04,0,0.070235616,51.82,50.18,0.0006270367
52,0.103644826,51.52,50.48,0,0.071453622,52.52,49.48,0.0003353458
53,0.104553219,50.26,51.74,0,0.078545252,51.64,50.36,0.0001777091
54,0.105460767,51.32,50.68,0,0.079723234,52.64,49.36,9.33644423959379E-05
55,0.106365545,53.2,48.8,0,0.080928665,50.54,51.46,0.000048655
56,0.107307422,52.52,49.48,0,0.082115266,50.78,51.22,2.51622848566058E-05
57,0.108215168,50.62,51.38,0,0.083278074,52.48,49.52,1.2919228272068E-05
58,0.109119552,51.28,50.72,0,0.084455315,51.36,50.64,6.58810371945151E-06
59,0.110460807,53.14,48.86,0,0.085628975,53.06,48.94,0.000003338
60,0.111885209,52.16,49.84,0,0.086800908,52.9,49.1,1.68094156194343E-06
61,0.113310461,52.02,49.98,0,0.087971483,52.54,49.46,8.4160761559815E-07
62,0.114233774,51.62,50.38,0,0.08920575,51.38,50.62,4.1906692516136E-07
63,0.115148939,52.04,49.96,0,0.090405283,53.92,48.08,2.07584427869278E-07
64,0.116071898,52.54,49.46,0,0.091598803,52.88,49.12,1.02319138051143E-07
65,0.116980101,52.2,49.8,0,0.092766367,53.32,48.68,5.0196703682559E-08
66,0.117887421,50.72,51.28,0,0.093938378,50.88,51.12,2.45159554879137E-08
67,0.118790481,52.02,49.98,0,0.095106725,52.08,49.92,1.19225838091097E-08
68,0.11970059,50.5,51.5,0,0.096274254,52.54,49.46,5.77466607865063E-09
69,0.120607751,52.1,49.9,0,0.09744565,52.6,49.4,2.78612333204364E-09
70,0.121505219,51.02,50.98,0,0.098618957,51.04,50.96,1.3392700282111E-09
71,0.122410314,52.4,49.6,0,0.099788851,51.66,50.34,6.41506403553649E-10
72,0.123819127,53.48,48.52,0,0.100959231,51.42,50.58,3.06247471826282E-10
73,0.124732348,51.24,50.76,0,0.102133238,52.42,49.58,1.45732315104397E-10
74,0.125645124,51.54,50.46,0,0.103315699,52.12,49.88,6.91287027621002E-11
75,0.126542586,52.3,49.7,0,0.105239157,52.2,49.8,3.2695623986001E-11
76,0.127443742,52.96,49.04,0,0.107166701,52.28,49.72,1.54116719386366E-11
77,0.128343021,51.78,50.22,0,0.108338236,52.44,49.56,7.25464133211062E-12
78,0.129246663,52.12,49.88,0,0.109517206,51.42,50.58,3.39994699061208E-12
79,0.130150789,53.54,48.46,0,0.110700238,51.76,50.24,1.58806301442382E-12
80,0.131057546,51.72,50.28,0,0.111887705,51.26,50.74,7.46069872548105E-13
81,0.131965939,53.56,48.44,0,0.113081116,50.84,51.16,3.48165940522449E-13
82,0.132893845,51.66,50.34,0,0.114241178,52.86,49.14,1.59872115546023E-13
83,0.133797945,52.08,49.92,0,0.115406943,51.08,50.92,7.46069872548105E-14
84,0.134699964,53.58,48.42,0,0.116571234,52.72,49.28,3.5527136788005E-14
85,0.135610257,51.16,50.84,0,0.117765312,52.68,49.32,1.4210854715202E-14
86,0.136524843,51.52,50.48,0,0.118952944,51.9,50.1,3.5527136788005E-15
87,0.137422555,51.48,50.52,0,0.120125716,51.2,50.8,3.5527136788005E-15
88,0.138333203,51.58,50.42,0,0.121308395,51.9,50.1,0
89,0.139237994,52.34,49.66,0,0.122466177,52.34,49.66,0
90,0.140138546,52.38,49.62,0,0.123621076,51.92,50.08,0
91,0.141043019,52.66,49.34,0,0.124774672,53.06,48.94,0
92,0.141950147,49.96,52.04,0,0.12593105,53.24,48.76,0
93,0.142866418,52.2,49.8,0,0.12708342,51.06,50.94,0
94,0.143788421,53.36,48.64,0,0.128241587,51.86,50.14,0
95,0.145006718,52.34,49.66,0,0.129402501,51.9,50.1,0
96,0.145930643,51.82,50.18,0,0.130583615,52.28,49.72,0
97,0.146824988,51.56,50.44,0,0.131757495,50.64,51.36,0
98,0.147720783,51.28,50.72,0,0.132934331,52.12,49.88,0
99,0.148620515,51.52,50.48,0,0.134088233,52,50,0
100,0.149525863,51.86,50.14,0,0.135267284,50.7,51.3,0
